Name|Start_Year|End_Year|Latitude|Longitude|Info|Type|Category
Seleucus I Nicator|-305|-281|32.0000|71.0000|Founder of the Seleucid Empire who fought Chandragupta Maurya and later concluded a treaty with the Mauryan ruler|Person|Ruler
Eucratides I|-171|-145|34.5000|69.2000|Powerful Greco-Bactrian king who expanded his territory across parts of Central and South Asia|Person|Ruler
Menander I|-165|-130|34.0000|72.0000|Indo-Greek king known as Milinda in Buddhist literature and associated with the dialogue recorded in the Milinda Panha|Person|Ruler
Greco-Bactrian Kingdom|-256|-125|36.5000|69.0000|Hellenistic kingdom centered in Bactria that expanded into parts of Central and South Asia after the fragmentation of the Seleucid Empire|Polity|Kingdom
Bactria|-600|-100|36.7000|67.1000|Ancient region centered around the Oxus River, corresponding broadly to parts of modern Afghanistan, Uzbekistan, and Tajikistan|Geography|Region
Kushan Empire|30|375|34.5000|69.2000|Major Central and South Asian empire that connected India with Central Asia and facilitated trade and the spread of Buddhism|Polity|Empire
Hindu Kush|-1000|2026|35.0000|71.0000|Major mountain range connecting Central and South Asia and historically serving as an important corridor between the Indian subcontinent and Central Asia|Geography|Region
White Huns|450|565|34.5000|69.2000|Hephthalite or White Hun powers that invaded and controlled parts of northwestern and northern India during the 5th and 6th centuries CE|Polity|Empire
Charvaka|-600|500|25.0000|80.0000|Materialist philosophical tradition of ancient India that emphasized direct perception and rejected supernatural explanations and Vedic authority|Philosophy|Philosophy
Chalukya Dynasty|543|753|16.8302|75.7100|Major Deccan dynasty whose early rulers established power from Vatapi, modern Badami|Polity|Dynasty
Pulakeshin I|543|566|15.9186|75.6761|Founder of the early Chalukya power centered at Vatapi, modern Badami, in the Deccan|Person|Ruler
Maukhari Dynasty|550|700|26.4600|80.3500|North Indian dynasty centered around Kannauj that became an important political power during the 6th and 7th centuries CE|Polity|Dynasty
Chola Dynasty|-300|1279|10.7905|79.1378|Ancient and medieval Tamil dynasty whose later rulers developed a powerful South Indian state and maritime network|Polity|Dynasty
Muhammad bin Qasim|695|715|30.3753|69.3451|Arab military commander who conquered Sindh in the early 8th century, establishing an early lasting Islamic political presence in the Indian subcontinent|Person|Ruler
Babur|1483|1530|41.2995|69.2401|Founder of the Mughal Empire who defeated Ibrahim Lodi at the First Battle of Panipat in 1526|Person|Ruler
Humayun|1508|1556|28.6139|77.2090|Second Mughal emperor and son of Babur who temporarily lost and later regained the Mughal throne|Person|Ruler
Aurangzeb|1618|1707|23.0225|72.5714|Sixth Mughal emperor whose long reign saw major territorial expansion and prolonged conflicts across the Indian subcontinent|Person|Ruler
Chhatrapati Shivaji Maharaj|1630|1680|18.5204|73.8567|Founder of the Maratha state who established a powerful regional kingdom in western India and was crowned Chhatrapati in 1674|Person|Ruler
Tipu Sultan|1751|1799|12.2958|76.6394|Ruler of the Kingdom of Mysore who resisted British expansion and introduced military and administrative innovations|Person|Ruler
Sumer|-4500|-1900|31.3209|45.6394|One of the earliest urban civilizations of Mesopotamia, associated with the development of cities, writing, complex administration, and monumental architecture in southern Mesopotamia|Civilization|Civilization
Ancient Egypt|-3100|-30|26.8206|30.8025|Ancient civilization centered on the Nile Valley, known for centralized kingship, monumental architecture, hieroglyphic writing, mathematics, medicine, religion, and a continuous cultural tradition spanning more than three millennia|Civilization|Civilization
Indus Valley Civilization|-3300|-1300|30.9000|72.9000|Bronze Age civilization centered in the Indus River basin, known for planned cities, drainage systems, trade networks, standardized weights, and distinctive material culture|Civilization|Civilization
Norte Chico Civilization|-3500|-1800|-10.7500|-77.5000|One of the earliest known civilizations in the Americas, centered along the north-central coast of Peru and characterized by monumental ceremonial architecture and large settlements|Civilization|Civilization
Akkadian Empire|-2334|-2154|33.3152|44.3661|One of the earliest known empires, founded by Sargon of Akkad; it unified much of Mesopotamia and established Akkadian as an important administrative and literary language|Polity|Empire
Xuanzang (Hiuen Tsang)|602|664|34.2658|108.9541|Chinese Buddhist monk, scholar, and traveler who journeyed to India in the 7th century, studied at Nalanda, and recorded detailed observations of Indian kingdoms, Buddhism, and society|Person|Traveler
Ibn Battuta|1304|1368|34.0209|-6.8416|Moroccan scholar and traveler whose extensive journeys across Africa, the Middle East, Central Asia, India, and Southeast Asia were recorded in the Rihla|Person|Traveler
Spartacus|-111|-71|40.6361|15.8000|Thracian gladiator and leader of the major slave uprising against the Roman Republic known as the Third Servile War|Person|Military Leader
Julius Caesar|-100|-44|41.9028|12.4964|Roman general, statesman, and author who played a decisive role in the transformation of the Roman Republic and was assassinated in 44 BCE|Person|Military Leader
Mark Antony|-83|-30|41.9028|12.4964|Roman general and statesman who was a leading supporter of Julius Caesar and later formed the Second Triumvirate before his conflict with Octavian|Person|Ruler
Cleopatra VII|-69|-30|31.2001|29.9187|Last active ruler of the Ptolemaic Kingdom of Egypt, known for her political alliances with Julius Caesar and Mark Antony|Person|Ruler
Third Dynasty of Ur (Ur III)|-2112|-2004|30.9626|46.1038|Mesopotamian dynasty centered at Ur; known for centralized administration, extensive record keeping, monumental architecture, and one of the earliest known bureaucratic states|Polity|Dynasty
Maya Civilization|-2000|1500|17.0000|-89.0000|Mesoamerican civilization known for monumental cities, sophisticated mathematics and astronomy, hieroglyphic writing, calendrical systems, and complex political societies|Civilization|Civilization
Ancient Roman Civilization|-753|476|41.9028|12.4964|Ancient Mediterranean civilization that developed from the Roman city-state into a vast imperial system and profoundly influenced law, government, engineering, language, and culture|Civilization|Civilization
Ancient Greek Civilization|-1200|146|37.9838|23.7275|Ancient Mediterranean civilization associated with Greek city-states, philosophy, science, literature, art, political experimentation, and the Hellenistic world|Civilization|Civilization
Olmec Civilization|-1600|-400|18.2833|-94.4167|Early major Mesoamerican civilization associated with monumental stone heads, ceremonial centers, distinctive art, and cultural influences on later Mesoamerican societies|Civilization|Civilization
Viking Age|793|1066|59.9139|10.7522|Period of Scandinavian expansion, exploration, trade, raiding, settlement, and cultural exchange across Europe and the North Atlantic|Culture|Viking Age
Persian Civilization|-550|651|32.4279|53.6880|Major Iranian civilization whose traditions developed through successive Persian empires and profoundly influenced administration, literature, art, religion, and culture across West and Central Asia|Civilization|Persian
Ancient Iranian Civilization|-3000|651|32.4279|53.6880|Long-standing civilization of the Iranian plateau encompassing successive cultures and states including Elam, the Median kingdom, and Persian empires|Civilization|Iranian
Ramayana|-500|300|25.3176|82.9739|Ancient Indian Sanskrit epic traditionally attributed to Valmiki, centered on the story of Rama, Sita, and the struggle between Rama and Ravana; composed and transmitted over several centuries|Literature|Epic
Mahabharata|-400|400|25.3176|82.9739|Ancient Indian Sanskrit epic concerning the conflict between the Pandavas and Kauravas and containing the Bhagavad Gita; developed over several centuries through oral and textual traditions|Literature|Epic
Arabian Nights|800|1400|33.3152|44.3661|Collection of Middle Eastern and South Asian stories compiled and transmitted over centuries, including tales such as Aladdin, Ali Baba, and the voyages of Sinbad|Literature|Story Collection
Aryabhata|476|550|25.6100|85.1400|Indian mathematician and astronomer traditionally associated with Aryabhatiya; made influential contributions to mathematics, astronomy, and the calculation of pi|Person|Scientist
Panini|-500|-400|32.0800|74.5000|Ancient Indian grammarian traditionally associated with the Ashtadhyayi, a highly systematic work on Sanskrit grammar and one of the foundational works of linguistic analysis|Person|Scholar
Kautilya (Chanakya)|-350|-283|25.6100|85.1400|Ancient Indian scholar, political thinker, and strategist traditionally associated with the Arthashastra and with advising Chandragupta Maurya; traditionally identified with Chanakya and Vishnugupta|Person|Scholar
Panchatantra|-300|300|25.3176|83.0100|Ancient Indian collection of interconnected animal fables and moral stories traditionally associated with Sanskrit literary tradition; its precise date and authorship are uncertain|Literature|Text
Mesopotamia|-6000|539|32.0000|44.0000|Historical region between the Tigris and Euphrates rivers and a major center of early urban civilization, writing, states, law, and complex societies including Sumer, Akkad, Babylon, and Assyria|Geography|Region
Babylonian Civilization|-1894|-539|32.5420|44.4210|Mesopotamian civilization centered on Babylon, associated with important developments in law, mathematics, astronomy, literature, and urban culture|Civilization|Babylonian
Assyrian Empire|-2500|-609|36.3590|43.1520|Powerful Mesopotamian civilization and imperial state centered in northern Mesopotamia, known for military organization, administration, monumental architecture, and extensive written records|Polity|Empire
Narmer|-3150|-3120|29.9792|31.1342|Early Egyptian ruler traditionally associated with the political unification of Upper and Lower Egypt and the beginning of the dynastic period|Person|Ruler
Djoser|-2670|-2650|29.8711|31.2165|Pharaoh of the Third Dynasty whose Step Pyramid at Saqqara is one of the earliest monumental stone structures in Egypt|Person|Ruler
Khufu|-2589|-2566|29.9792|31.1342|Pharaoh of the Fourth Dynasty traditionally associated with the construction of the Great Pyramid at Giza|Person|Ruler
Hatshepsut|-1479|-1458|25.7400|32.6014|Powerful female pharaoh of the Eighteenth Dynasty known for major building projects and an extensive trading expedition to Punt|Person|Ruler
Akhenaten|-1353|-1336|27.6700|30.9000|Eighteenth Dynasty pharaoh who promoted the worship of the Aten and established the new capital city of Akhetaten|Person|Ruler
Tutankhamun|-1332|-1323|27.6700|30.9000|Young Eighteenth Dynasty pharaoh whose largely intact tomb discovered in 1922 became one of the most famous archaeological discoveries in history|Person|Ruler
Ramesses II|-1279|-1213|25.7400|32.6014|One of the most prominent pharaohs of the New Kingdom, known for extensive building projects, military campaigns, and the temples at Abu Simbel|Person|Ruler
Cleopatra VII|-69|-30|31.2001|29.9187|Last active ruler of the Ptolemaic Kingdom of Egypt, known for her political alliances with Julius Caesar and Mark Antony|Person|Ruler
Step Pyramid of Djoser|-2670|-2650|29.8711|31.2165|Monumental pyramid complex at Saqqara built for Pharaoh Djoser; widely regarded as the earliest large-scale stone pyramid in Egypt|Monument|Architecture
Great Pyramid of Giza|-2560|-2540|29.9792|31.1342|Largest of the Giza pyramids, built as the tomb of Pharaoh Khufu and the only surviving Wonder of the Ancient World|Monument|Architecture
Pyramid of Khafre|-2558|-2532|29.9753|31.1304|Second-largest pyramid at Giza, traditionally attributed to Pharaoh Khafre and still retaining part of its original limestone casing near the summit|Monument|Architecture
Susa|-4200|638|32.1896|48.2578|Ancient city in southwestern Iran and one of the world's important early urban centers; associated with the Elamite civilization and later incorporated into major Mesopotamian and Persian empires|Place|Archaeological Site
Byblos|-5000|2026|34.1211|35.6511|Ancient Phoenician coastal city in present-day Lebanon and one of the oldest continuously inhabited urban sites; an important center of trade and the ancient Mediterranean world|Place|Archaeological Site
Çatalhöyük|-7500|-5700|37.6667|32.8289|Large Neolithic settlement in central Anatolia characterized by densely packed houses, wall paintings, figurines, and early evidence of settled agricultural life|Place|Archaeological Site
Jericho|-9600|2026|31.8700|35.4444|Ancient settlement in the Jordan Valley with some of the earliest known evidence of permanent settlement, agriculture, monumental construction, and defensive architecture|Place|Archaeological Site
Pyramid of Menkaure|-2530|-2500|29.9727|31.1284|Smallest of the three principal pyramids at Giza, traditionally attributed to Pharaoh Menkaure|Monument|Architecture
Ur|-3800|-300|30.9626|46.1038|Ancient Mesopotamian city in southern Iraq and an important center of Sumerian civilization; later became the capital of the powerful Third Dynasty of Ur|Place|Archaeological Site
Uruk|-4000|-300|31.3220|45.6380|One of the world's earliest major cities and an important center of Sumerian civilization, associated with early urbanization, monumental architecture, administration, and writing|Place|Archaeological Site
Babylon|-1894|-141|32.5420|44.4210|Major Mesopotamian city on the Euphrates and capital of the Babylonian kingdoms; associated with Hammurabi, monumental architecture, mathematics, astronomy, and the famous Ishtar Gate|Place|Archaeological Site
Nineveh|-1800|-612|36.3719|43.1528|Ancient Assyrian city on the Tigris and one of the great cities of the ancient Near East; became the capital of the Neo-Assyrian Empire|Place|Archaeological Site
Memphis|-3100|-525|29.8481|31.2540|Ancient Egyptian city near the apex of the Nile Delta and an important political and religious center during much of ancient Egyptian history|Place|Archaeological Site
Thebes|-3200|-30|25.7188|32.6573|Major ancient Egyptian city on the Nile and an important religious and political center, particularly during the Middle and New Kingdoms; associated with the temples of Karnak and Luxor|Place|Archaeological Site
Mohenjo-daro|-2500|-1900|27.3294|68.1386|Major urban center of the Indus Valley Civilization, known for sophisticated city planning, drainage systems, standardized construction, and extensive archaeological remains|Place|Archaeological Site
Harappa|-2600|-1900|30.6300|72.8700|Major urban center of the Indus Valley Civilization in the Punjab region, associated with planned streets, standardized weights, craft production, and long-distance trade|Place|Archaeological Site
Taxila|-600|500|33.7463|72.8397|Ancient city and major center of learning, trade, and Buddhist culture in Gandhara; influenced by Persian, Greek, Mauryan, and Kushan traditions|Place|Archaeological Site
Nalanda Mahavihara (Nalanda University)|427|1200|25.1367|85.4437|Ancient Buddhist monastic and scholarly center in Bihar that attracted students and scholars from across South and Central Asia; one of the most important centers of learning in ancient India|Institution|University
University of Oxford|1096|2026|51.7548|-1.2544|Historic university in Oxford, England, with teaching and scholarly traditions dating to the late 11th century; one of the world's oldest universities|Institution|University
Charaka Samhita|-200|200|27.1767|78.0081|Foundational Sanskrit text of Ayurveda traditionally associated with Charaka; discusses medicine, diagnosis, therapeutics, anatomy, and principles of healthy living|Literature|Medical Text
Sushruta Samhita|-600|-300|25.3176|82.9739|Foundational Sanskrit Ayurvedic text traditionally associated with Sushruta; particularly important for early surgical knowledge, anatomy, and medical practice|Literature|Medical Text
Ashtanga Sangraha|600|800|20.5937|78.9629|Classical Sanskrit Ayurvedic compendium traditionally attributed to Vagbhata, synthesizing major branches of Ayurveda and medical knowledge|Literature|Medical Text
Elamite Civilization|-2700|-539|32.1896|48.2578|Ancient civilization of southwestern Iran centered in the region of Elam, with Susa as a major political and cultural center; it interacted extensively with Mesopotamian civilizations and later came under Persian rule|Civilization|Civilization
Kingdom of Kush|-1070|350|16.9387|33.9700|Ancient Nubian kingdom south of Egypt centered along the Nile, with major capitals at Napata and later Meroe; developed its own political, religious, artistic, and ironworking traditions|Civilization|Nubian
Kingdom of Aksum|-100|940|14.1300|39.0100|Major ancient kingdom centered in northern Ethiopia and Eritrea, known for long-distance trade, monumental stelae, coinage, and its role in the early history of Christianity in the Horn of Africa|Civilization|Aksumite
Nok Culture|-1500|500|9.6000|8.5000|Archaeological culture of central Nigeria known for sophisticated terracotta sculptures, ironworking, and early complex settlement patterns|Culture|Archaeological Culture
Great Zimbabwe|1100|1450|-20.2670|30.9330|Major stone-built settlement in southern Africa and center of a powerful regional society connected to long-distance trade across southeastern Africa and the Indian Ocean|Place|Archaeological Site
Kingdom of Zimbabwe|1100|1450|-20.2670|30.9330|Medieval southern African state associated with Great Zimbabwe and extensive regional and long-distance trade|Polity|Kingdom
Mali Empire|1235|1645|12.6500|-8.0000|West African empire that controlled major trans-Saharan trade routes and became renowned for gold, scholarship, and cities such as Timbuktu|Polity|Empire
Songhai Empire|1464|1591|16.7666|-3.0026|Major West African empire centered along the Niger River whose cities including Gao and Timbuktu became important centers of commerce and Islamic scholarship|Polity|Empire
Scythian Culture|-800|300|47.0000|40.0000|Nomadic and semi-nomadic peoples of the Eurasian steppe known from archaeological remains and classical accounts for horse culture, warfare, trade, and distinctive animal-style art|Culture|Steppe Culture
Sarmatian Culture|-500|400|47.0000|40.0000|Iranian-speaking nomadic peoples of the Eurasian steppe who succeeded and interacted with Scythian groups across the Black Sea and Central Eurasian regions|Culture|Steppe Culture
Kievan Rus'|882|1240|50.4501|30.5234|Medieval East Slavic polity centered on Kyiv that connected the Baltic and Black Sea through trade and political networks and became an important predecessor to later Eastern European states|Polity|Principality
Kyiv|482|1240|50.4501|30.5234|Major medieval East European city and political center of Kievan Rus' situated on the Dnieper River|Place|Historical City
Novgorod|859|1478|58.5213|31.2755|Major medieval East Slavic city and political center known for trade, crafts, literacy, and its connections to the Baltic and wider European world|Place|Historical City
Golden Horde|1240|1502|47.2360|39.7203|Major Mongol successor state controlling extensive territories across the Eurasian steppe and influencing the political development of Eastern Europe and Russia|Polity|Empire
Al-Qarawiyyin|859|2026|34.0181|-5.0078|Historic center of Islamic learning in Fez, Morocco, traditionally founded in 859 CE; developed into an important center for religious studies, law, language, and scholarship|Institution|University
Al-Azhar|970|2026|30.0444|31.2628|Historic Islamic institution of learning in Cairo founded in the 10th century and later developed into one of the world's major centers of Islamic scholarship|Institution|University
University of Bologna|1088|2026|44.4949|11.3426|University in Bologna traditionally dated to 1088 and widely regarded as the oldest continuously operating university in the Western world|Institution|University
University of Paris|1150|1793|48.8566|2.3522|Medieval university that developed around the cathedral schools of Paris and became one of medieval Europe's major centers of theology, philosophy, and scholarship|Institution|University
University of Cambridge|1209|2026|52.2053|0.1218|English university founded by scholars who migrated from Oxford in the early 13th century and became one of the world's leading centers of scholarship|Institution|University
Polynesian Settlement of Aotearoa|1250|1400|-41.3000|174.7800|Settlement of Aotearoa New Zealand by Polynesian voyagers who developed distinctive Māori societies adapted to the islands' environments|Culture|Polynesian Culture
Māori Culture|1250|2026|-40.9006|174.8860|Indigenous Polynesian culture of Aotearoa New Zealand that developed following Polynesian settlement and includes distinctive traditions of navigation, agriculture, art, warfare, social organization, and oral history|Culture|Indigenous Culture
Wairau Bar|1288|1400|-41.5000|173.9500|One of the oldest known archaeological sites in New Zealand, containing early Polynesian settlement remains, burials, and artifacts associated with the first generations of settlers|Place|Archaeological Site
Budj Bim Cultural Landscape|-6000|1788|-38.0570|141.8960|Cultural landscape of the Gunditjmara people in southeastern Australia, known for an extensive system of aquaculture channels and wetlands used to manage and harvest kooyang, or short-finned eel|Place|Cultural Landscape
Lake Mungo|-40000|-1|-33.7430|143.0520|Archaeological landscape in New South Wales containing ancient human remains and evidence of Aboriginal occupation; the remains known as Mungo Man and Mungo Lady are among Australia's most significant archaeological discoveries|Place|Archaeological Site
Madjedbebe|-63000|-1|-12.5210|132.8940|Rock shelter in northern Australia containing archaeological evidence of Aboriginal occupation dating to at least 65,000 years ago, including stone tools, grinding stones, and ochre|Place|Archaeological Site
Aboriginal Australian Cultures|-65000|1788|-25.0000|134.0000|Diverse Indigenous cultures and societies with continuous histories extending for at least 65,000 years, including sophisticated ecological knowledge, oral traditions, astronomy, art, trade networks, and land-management practices|Culture|Indigenous Culture
Mughal Empire|1526|1857|28.6139|77.2090|Early modern empire founded by Babur after the First Battle of Panipat; at its height it controlled much of the Indian subcontinent and became a major center of administration, architecture, art, literature, and culture|Polity|Empire
Yellow River / Early Chinese Civilization|-2000|-771|34.2667|108.9480|Early civilization centered on the Yellow River valley and associated with the development of complex societies, bronze technology, writing, and early Chinese states|Civilization|Ancient China
Shang Dynasty|-1600|-1046|34.2667|108.9480|Bronze Age Chinese dynasty known for bronze technology, urban centers, ancestor worship, and the earliest securely attested Chinese writing|Polity|Dynasty
Zhou Dynasty|-1046|-256|34.2667|108.9480|Long-lived Chinese dynasty associated with the Mandate of Heaven, major philosophical developments, and the political transformation of ancient China|Polity|Dynasty
Qin Dynasty|-221|-206|34.2667|108.9480|Short-lived dynasty that unified the major Chinese states and established the first centralized imperial state of China|Polity|Dynasty
Han Dynasty|-206|220|34.2667|108.9480|Major Chinese dynasty whose period saw expansion, development of the Silk Road, technological innovation, and consolidation of imperial institutions|Polity|Dynasty
Tang Dynasty|618|907|34.2667|108.9480|Powerful Chinese dynasty and major center of trade, culture, Buddhism, literature, and international exchange across East and Central Asia|Polity|Dynasty
Song Dynasty|960|1279|31.2304|121.4737|Chinese dynasty associated with major developments in commerce, urbanization, printing, navigation, science, and technology|Polity|Dynasty
